Numero,Prenom,Nom,Match,Action,Niveau,Nb_actions
14,Mado,Bidard,AGEN II,DUEL,1,1.0
15,Jade,Guindé,AGEN II,DUEL,1,2.0
17,Eva,Ould-Hadda,AGEN II,DUEL,1,1.0
19,Elsa,Moutinho,AGEN II,DUEL,1,2.0
20,Alexia,Cazalbou,AGEN II,DUEL,1,1.0
1,Manon,Marchesin,AGEN II,DUEL,2,5.0
2,Arwen,Lavuia,AGEN II,DUEL,2,6.0
3,Malia,Taofifenua,AGEN II,DUEL,2,6.0
4,Adèle,Lachurie,AGEN II,DUEL,2,8.0
5,Cléa,Vauloup,AGEN II,DUEL,2,2.0
6,Moea,Lickel,AGEN II,DUEL,2,6.0
7,Zoe,Toustou,AGEN II,DUEL,2,3.0
8,Lise,Llach,AGEN II,DUEL,2,3.0
9,Alice,Henaux,AGEN II,DUEL,2,2.0
10,Heloïse,Seletti,AGEN II,DUEL,2,3.0
11,Alessia,Coste,AGEN II,DUEL,2,2.0
12,Maelys,Onillon,AGEN II,DUEL,2,5.0
13,Jeanne,Beheregaray,AGEN II,DUEL,2,4.0
14,Mado,Bidard,AGEN II,DUEL,2,3.0
15,Jade,Guindé,AGEN II,DUEL,2,5.0
17,Eva,Ould-Hadda,AGEN II,DUEL,2,1.0
18,Sara-Lyna,Makouf,AGEN II,DUEL,2,1.0
20,Alexia,Cazalbou,AGEN II,DUEL,2,1.0
22,Eva,Sundheimer,AGEN II,DUEL,2,1.0
23,Lisa,Montoux,AGEN II,DUEL,2,1.0
1,Manon,Marchesin,AGEN II,DUEL,3,2.0
2,Arwen,Lavuia,AGEN II,DUEL,3,3.0
3,Malia,Taofifenua,AGEN II,DUEL,3,5.0
5,Cléa,Vauloup,AGEN II,DUEL,3,1.0
6,Moea,Lickel,AGEN II,DUEL,3,1.0
7,Zoe,Toustou,AGEN II,DUEL,3,2.0
8,Lise,Llach,AGEN II,DUEL,3,1.0
10,Heloïse,Seletti,AGEN II,DUEL,3,2.0
12,Maelys,Onillon,AGEN II,DUEL,3,4.0
13,Jeanne,Beheregaray,AGEN II,DUEL,3,3.0
14,Mado,Bidard,AGEN II,DUEL,3,2.0
15,Jade,Guindé,AGEN II,DUEL,3,3.0
22,Eva,Sundheimer,AGEN II,DUEL,3,3.0
9,Alice,Henaux,AGEN II,PASSE,0,1.0
10,Heloïse,Seletti,AGEN II,PASSE,0,2.0
8,Lise,Llach,AGEN II,PASSE,1,1.0
9,Alice,Henaux,AGEN II,PASSE,2,3.0
10,Heloïse,Seletti,AGEN II,PASSE,2,1.0
13,Jeanne,Beheregaray,AGEN II,PASSE,2,1.0
15,Jade,Guindé,AGEN II,PASSE,2,1.0
20,Alexia,Cazalbou,AGEN II,PASSE,2,2.0
2,Arwen,Lavuia,AGEN II,PASSE,3,2.0
3,Malia,Taofifenua,AGEN II,PASSE,3,3.0
4,Adèle,Lachurie,AGEN II,PASSE,3,3.0
5,Cléa,Vauloup,AGEN II,PASSE,3,6.0
6,Moea,Lickel,AGEN II,PASSE,3,2.0
7,Zoe,Toustou,AGEN II,PASSE,3,1.0
8,Lise,Llach,AGEN II,PASSE,3,5.0
9,Alice,Henaux,AGEN II,PASSE,3,45.0
10,Heloïse,Seletti,AGEN II,PASSE,3,9.0
12,Maelys,Onillon,AGEN II,PASSE,3,5.0
13,Jeanne,Beheregaray,AGEN II,PASSE,3,1.0
14,Mado,Bidard,AGEN II,PASSE,3,2.0
15,Jade,Guindé,AGEN II,PASSE,3,7.0
18,Sara-Lyna,Makouf,AGEN II,PASSE,3,1.0
20,Alexia,Cazalbou,AGEN II,PASSE,3,10.0
23,Lisa,Montoux,AGEN II,PASSE,3,1.0
1,Manon,Marchesin,AGEN II,PLAQUAGE,0,1.0
2,Arwen,Lavuia,AGEN II,PLAQUAGE,0,2.0
4,Adèle,Lachurie,AGEN II,PLAQUAGE,0,2.0
5,Cléa,Vauloup,AGEN II,PLAQUAGE,0,1.0
6,Moea,Lickel,AGEN II,PLAQUAGE,0,3.0
7,Zoe,Toustou,AGEN II,PLAQUAGE,0,2.0
8,Lise,Llach,AGEN II,PLAQUAGE,0,2.0
9,Alice,Henaux,AGEN II,PLAQUAGE,0,3.0
11,Alessia,Coste,AGEN II,PLAQUAGE,0,1.0
12,Maelys,Onillon,AGEN II,PLAQUAGE,0,3.0
13,Jeanne,Beheregaray,AGEN II,PLAQUAGE,0,1.0
14,Mado,Bidard,AGEN II,PLAQUAGE,0,1.0
16,Lizea,Subra,AGEN II,PLAQUAGE,0,1.0
17,Eva,Ould-Hadda,AGEN II,PLAQUAGE,0,1.0
22,Eva,Sundheimer,AGEN II,PLAQUAGE,0,1.0
1,Manon,Marchesin,AGEN II,PLAQUAGE,1,2.0
2,Arwen,Lavuia,AGEN II,PLAQUAGE,1,3.0
3,Malia,Taofifenua,AGEN II,PLAQUAGE,1,1.0
4,Adèle,Lachurie,AGEN II,PLAQUAGE,1,2.0
5,Cléa,Vauloup,AGEN II,PLAQUAGE,1,1.0
6,Moea,Lickel,AGEN II,PLAQUAGE,1,2.0
7,Zoe,Toustou,AGEN II,PLAQUAGE,1,2.0
9,Alice,Henaux,AGEN II,PLAQUAGE,1,3.0
10,Heloïse,Seletti,AGEN II,PLAQUAGE,1,2.0
11,Alessia,Coste,AGEN II,PLAQUAGE,1,2.0
12,Maelys,Onillon,AGEN II,PLAQUAGE,1,4.0
14,Mado,Bidard,AGEN II,PLAQUAGE,1,2.0
17,Eva,Ould-Hadda,AGEN II,PLAQUAGE,1,1.0
18,Sara-Lyna,Makouf,AGEN II,PLAQUAGE,1,3.0
20,Alexia,Cazalbou,AGEN II,PLAQUAGE,1,1.0
22,Eva,Sundheimer,AGEN II,PLAQUAGE,1,1.0
1,Manon,Marchesin,AGEN II,PLAQUAGE,2,3.0
2,Arwen,Lavuia,AGEN II,PLAQUAGE,2,4.0
3,Malia,Taofifenua,AGEN II,PLAQUAGE,2,3.0
4,Adèle,Lachurie,AGEN II,PLAQUAGE,2,4.0
5,Cléa,Vauloup,AGEN II,PLAQUAGE,2,6.0
6,Moea,Lickel,AGEN II,PLAQUAGE,2,2.0
7,Zoe,Toustou,AGEN II,PLAQUAGE,2,1.0
8,Lise,Llach,AGEN II,PLAQUAGE,2,1.0
9,Alice,Henaux,AGEN II,PLAQUAGE,2,2.0
10,Heloïse,Seletti,AGEN II,PLAQUAGE,2,1.0
11,Alessia,Coste,AGEN II,PLAQUAGE,2,1.0
12,Maelys,Onillon,AGEN II,PLAQUAGE,2,4.0
13,Jeanne,Beheregaray,AGEN II,PLAQUAGE,2,1.0
17,Eva,Ould-Hadda,AGEN II,PLAQUAGE,2,1.0
2,Arwen,Lavuia,AGEN II,PLAQUAGE,3,2.0
4,Adèle,Lachurie,AGEN II,PLAQUAGE,3,2.0
5,Cléa,Vauloup,AGEN II,PLAQUAGE,3,3.0
6,Moea,Lickel,AGEN II,PLAQUAGE,3,1.0
7,Zoe,Toustou,AGEN II,PLAQUAGE,3,1.0
8,Lise,Llach,AGEN II,PLAQUAGE,3,1.0
10,Heloïse,Seletti,AGEN II,PLAQUAGE,3,3.0
12,Maelys,Onillon,AGEN II,PLAQUAGE,3,3.0
13,Jeanne,Beheregaray,AGEN II,PLAQUAGE,3,2.0
16,Lizea,Subra,AGEN II,PLAQUAGE,3,1.0
1,Manon,Marchesin,AGEN II,RUCK,0,1.0
4,Adèle,Lachurie,AGEN II,RUCK,0,7.0
5,Cléa,Vauloup,AGEN II,RUCK,0,2.0
6,Moea,Lickel,AGEN II,RUCK,0,1.0
7,Zoe,Toustou,AGEN II,RUCK,0,5.0
8,Lise,Llach,AGEN II,RUCK,0,3.0
11,Alessia,Coste,AGEN II,RUCK,0,1.0
13,Jeanne,Beheregaray,AGEN II,RUCK,0,1.0
14,Mado,Bidard,AGEN II,RUCK,0,2.0
15,Jade,Guindé,AGEN II,RUCK,0,3.0
19,Elsa,Moutinho,AGEN II,RUCK,0,1.0
22,Eva,Sundheimer,AGEN II,RUCK,0,1.0
6,Moea,Lickel,AGEN II,RUCK,1,1.0
9,Alice,Henaux,AGEN II,RUCK,1,1.0
5,Cléa,Vauloup,AGEN II,RUCK,2,2.0
7,Zoe,Toustou,AGEN II,RUCK,2,1.0
8,Lise,Llach,AGEN II,RUCK,2,1.0
9,Alice,Henaux,AGEN II,RUCK,2,1.0
11,Alessia,Coste,AGEN II,RUCK,2,1.0
12,Maelys,Onillon,AGEN II,RUCK,2,1.0
13,Jeanne,Beheregaray,AGEN II,RUCK,2,1.0
14,Mado,Bidard,AGEN II,RUCK,2,1.0
1,Manon,Marchesin,AGEN II,RUCK,3,2.0
2,Arwen,Lavuia,AGEN II,RUCK,3,12.0
3,Malia,Taofifenua,AGEN II,RUCK,3,5.0
4,Adèle,Lachurie,AGEN II,RUCK,3,9.0
5,Cléa,Vauloup,AGEN II,RUCK,3,5.0
6,Moea,Lickel,AGEN II,RUCK,3,16.0
7,Zoe,Toustou,AGEN II,RUCK,3,3.0
8,Lise,Llach,AGEN II,RUCK,3,7.0
9,Alice,Henaux,AGEN II,RUCK,3,3.0
10,Heloïse,Seletti,AGEN II,RUCK,3,1.0
11,Alessia,Coste,AGEN II,RUCK,3,1.0
12,Maelys,Onillon,AGEN II,RUCK,3,7.0
13,Jeanne,Beheregaray,AGEN II,RUCK,3,5.0
14,Mado,Bidard,AGEN II,RUCK,3,2.0
15,Jade,Guindé,AGEN II,RUCK,3,1.0
16,Lizea,Subra,AGEN II,RUCK,3,3.0
17,Eva,Ould-Hadda,AGEN II,RUCK,3,4.0
18,Sara-Lyna,Makouf,AGEN II,RUCK,3,2.0
23,Lisa,Montoux,AGEN II,RUCK,3,1.0
15,Jade,Guindé,AGEN II,JAP,1,1.0
15,Jade,Guindé,AGEN II,JAP,2,2.0
15,Jade,Guindé,AGEN II,JAP,3,3.0
15,Jade,Guindé,AGEN II,RECEPTION JAP,0,1.0
14,Mado,Bidard,AGEN II,RECEPTION JAP,1,1.0
15,Jade,Guindé,AGEN II,RECEPTION JAP,1,1.0
4,Adèle,Lachurie,AGEN II,RECEPTION JAP,3,2.0
6,Moea,Lickel,AGEN II,RECEPTION JAP,3,1.0
8,Lise,Llach,AGEN II,RECEPTION JAP,3,1.0
12,Maelys,Onillon,AGEN II,RECEPTION JAP,3,1.0
14,Mado,Bidard,AGEN II,RECEPTION JAP,3,1.0
4,Sofaia,Fono,CASTRES II,DUEL,0,1.0
5,Sofaia,Fono,CASTRES II,DUEL,0,2.0
6,Elsa,Moutinho,CASTRES II,DUEL,0,2.0
8,Agathe,Lacaze,CASTRES II,DUEL,0,3.0
10,Alice,Bouvet,CASTRES II,DUEL,0,2.0
11,Charlotte,Quilici,CASTRES II,DUEL,0,2.0
12,Pauline,Joigneaux,CASTRES II,DUEL,0,1.0
14,Eva,Sundheimer,CASTRES II,DUEL,0,1.0
19,Elea,Marzura,CASTRES II,DUEL,0,1.0
20,Jade,Guindé,CASTRES II,DUEL,0,3.0
5,Sofaia,Fono,CASTRES II,DUEL,1,1.0
7,Thiziri-Jades,Touabi,CASTRES II,DUEL,1,1.0
8,Agathe,Lacaze,CASTRES II,DUEL,1,3.0
9,Lou,Cambus,CASTRES II,DUEL,1,1.0
10,Alice,Bouvet,CASTRES II,DUEL,1,1.0
12,Pauline,Joigneaux,CASTRES II,DUEL,1,1.0
13,Alexia,Cazalbou,CASTRES II,DUEL,1,1.0
14,Eva,Sundheimer,CASTRES II,DUEL,1,1.0
15,Zoe,Pages,CASTRES II,DUEL,1,1.0
17,Léa,Maroco,CASTRES II,DUEL,1,1.0
20,Jade,Guindé,CASTRES II,DUEL,1,2.0
23,Keona,Aveilla,CASTRES II,DUEL,1,1.0
1,Cléa,Vauloup,CASTRES II,DUEL,2,10.0
2,Lizea,Subra,CASTRES II,DUEL,2,1.0
3,Lisa,Montoux,CASTRES II,DUEL,2,2.0
4,Sofaia,Fono,CASTRES II,DUEL,2,9.0
5,Sofaia,Fono,CASTRES II,DUEL,2,13.0
6,Elsa,Moutinho,CASTRES II,DUEL,2,1.0
7,Thiziri-Jades,Touabi,CASTRES II,DUEL,2,2.0
8,Agathe,Lacaze,CASTRES II,DUEL,2,4.0
10,Alice,Bouvet,CASTRES II,DUEL,2,3.0
11,Charlotte,Quilici,CASTRES II,DUEL,2,6.0
12,Pauline,Joigneaux,CASTRES II,DUEL,2,5.0
13,Alexia,Cazalbou,CASTRES II,DUEL,2,2.0
14,Eva,Sundheimer,CASTRES II,DUEL,2,1.0
15,Zoe,Pages,CASTRES II,DUEL,2,2.0
17,Léa,Maroco,CASTRES II,DUEL,2,2.0
18,Manel,Miftah,CASTRES II,DUEL,2,3.0
19,Elea,Marzura,CASTRES II,DUEL,2,3.0
20,Jade,Guindé,CASTRES II,DUEL,2,2.0
21,Maelle,Bonne,CASTRES II,DUEL,2,1.0
22,Lila,Spaarza,CASTRES II,DUEL,2,2.0
23,Keona,Aveilla,CASTRES II,DUEL,2,2.0
1,Cléa,Vauloup,CASTRES II,DUEL,3,5.0
4,Sofaia,Fono,CASTRES II,DUEL,3,3.0
7,Thiziri-Jades,Touabi,CASTRES II,DUEL,3,6.0
8,Agathe,Lacaze,CASTRES II,DUEL,3,4.0
10,Alice,Bouvet,CASTRES II,DUEL,3,3.0
11,Charlotte,Quilici,CASTRES II,DUEL,3,6.0
12,Pauline,Joigneaux,CASTRES II,DUEL,3,1.0
13,Alexia,Cazalbou,CASTRES II,DUEL,3,2.0
14,Eva,Sundheimer,CASTRES II,DUEL,3,12.0
15,Zoe,Pages,CASTRES II,DUEL,3,2.0
18,Manel,Miftah,CASTRES II,DUEL,3,1.0
20,Jade,Guindé,CASTRES II,DUEL,3,6.0
21,Maelle,Bonne,CASTRES II,DUEL,3,1.0
22,Lila,Spaarza,CASTRES II,DUEL,3,1.0
23,Keona,Aveilla,CASTRES II,DUEL,3,3.0
1,Cléa,Vauloup,CASTRES II,PASSE,0,1.0
5,Sofaia,Fono,CASTRES II,PASSE,0,1.0
7,Thiziri-Jades,Touabi,CASTRES II,PASSE,0,1.0
10,Alice,Bouvet,CASTRES II,PASSE,0,1.0
18,Manel,Miftah,CASTRES II,PASSE,0,1.0
21,Maelle,Bonne,CASTRES II,PASSE,0,1.0
9,Lou,Cambus,CASTRES II,PASSE,1,1.0
13,Alexia,Cazalbou,CASTRES II,PASSE,1,3.0
19,Elea,Marzura,CASTRES II,PASSE,1,1.0
21,Maelle,Bonne,CASTRES II,PASSE,1,1.0
5,Sofaia,Fono,CASTRES II,PASSE,2,1.0
6,Elsa,Moutinho,CASTRES II,PASSE,2,1.0
9,Lou,Cambus,CASTRES II,PASSE,2,9.0
10,Alice,Bouvet,CASTRES II,PASSE,2,1.0
12,Pauline,Joigneaux,CASTRES II,PASSE,2,2.0
13,Alexia,Cazalbou,CASTRES II,PASSE,2,2.0
16,Mathilde,Lacombre,CASTRES II,PASSE,2,1.0
21,Maelle,Bonne,CASTRES II,PASSE,2,1.0
23,Keona,Aveilla,CASTRES II,PASSE,2,1.0
1,Cléa,Vauloup,CASTRES II,PASSE,3,2.0
2,Lizea,Subra,CASTRES II,PASSE,3,7.0
3,Lisa,Montoux,CASTRES II,PASSE,3,1.0
4,Sofaia,Fono,CASTRES II,PASSE,3,5.0
5,Sofaia,Fono,CASTRES II,PASSE,3,3.0
6,Elsa,Moutinho,CASTRES II,PASSE,3,5.0
7,Thiziri-Jades,Touabi,CASTRES II,PASSE,3,4.0
9,Lou,Cambus,CASTRES II,PASSE,3,22.0
10,Alice,Bouvet,CASTRES II,PASSE,3,33.0
11,Charlotte,Quilici,CASTRES II,PASSE,3,6.0
12,Pauline,Joigneaux,CASTRES II,PASSE,3,14.0
13,Alexia,Cazalbou,CASTRES II,PASSE,3,4.0
15,Zoe,Pages,CASTRES II,PASSE,3,4.0
18,Manel,Miftah,CASTRES II,PASSE,3,3.0
19,Elea,Marzura,CASTRES II,PASSE,3,5.0
20,Jade,Guindé,CASTRES II,PASSE,3,4.0
21,Maelle,Bonne,CASTRES II,PASSE,3,3.0
23,Keona,Aveilla,CASTRES II,PASSE,3,2.0
4,Sofaia,Fono,CASTRES II,PLAQUAGE,0,1.0
6,Elsa,Moutinho,CASTRES II,PLAQUAGE,0,1.0
13,Alexia,Cazalbou,CASTRES II,PLAQUAGE,0,2.0
14,Eva,Sundheimer,CASTRES II,PLAQUAGE,0,1.0
18,Manel,Miftah,CASTRES II,PLAQUAGE,0,1.0
22,Lila,Spaarza,CASTRES II,PLAQUAGE,0,1.0
4,Sofaia,Fono,CASTRES II,PLAQUAGE,1,1.0
6,Elsa,Moutinho,CASTRES II,PLAQUAGE,1,1.0
7,Thiziri-Jades,Touabi,CASTRES II,PLAQUAGE,1,6.0
8,Agathe,Lacaze,CASTRES II,PLAQUAGE,1,5.0
9,Lou,Cambus,CASTRES II,PLAQUAGE,1,3.0
10,Alice,Bouvet,CASTRES II,PLAQUAGE,1,7.0
11,Charlotte,Quilici,CASTRES II,PLAQUAGE,1,2.0
13,Alexia,Cazalbou,CASTRES II,PLAQUAGE,1,1.0
15,Zoe,Pages,CASTRES II,PLAQUAGE,1,1.0
20,Jade,Guindé,CASTRES II,PLAQUAGE,1,1.0
21,Maelle,Bonne,CASTRES II,PLAQUAGE,1,2.0
22,Lila,Spaarza,CASTRES II,PLAQUAGE,1,1.0
1,Cléa,Vauloup,CASTRES II,PLAQUAGE,2,7.0
2,Lizea,Subra,CASTRES II,PLAQUAGE,2,2.0
4,Sofaia,Fono,CASTRES II,PLAQUAGE,2,2.0
5,Sofaia,Fono,CASTRES II,PLAQUAGE,2,2.0
6,Elsa,Moutinho,CASTRES II,PLAQUAGE,2,1.0
7,Thiziri-Jades,Touabi,CASTRES II,PLAQUAGE,2,2.0
8,Agathe,Lacaze,CASTRES II,PLAQUAGE,2,4.0
9,Lou,Cambus,CASTRES II,PLAQUAGE,2,4.0
10,Alice,Bouvet,CASTRES II,PLAQUAGE,2,2.0
13,Alexia,Cazalbou,CASTRES II,PLAQUAGE,2,2.0
19,Elea,Marzura,CASTRES II,PLAQUAGE,2,2.0
20,Jade,Guindé,CASTRES II,PLAQUAGE,2,1.0
21,Maelle,Bonne,CASTRES II,PLAQUAGE,2,1.0
1,Cléa,Vauloup,CASTRES II,PLAQUAGE,3,2.0
2,Lizea,Subra,CASTRES II,PLAQUAGE,3,2.0
7,Thiziri-Jades,Touabi,CASTRES II,PLAQUAGE,3,2.0
8,Agathe,Lacaze,CASTRES II,PLAQUAGE,3,2.0
20,Jade,Guindé,CASTRES II,PLAQUAGE,3,1.0
1,Cléa,Vauloup,CASTRES II,RUCK,0,1.0
2,Lizea,Subra,CASTRES II,RUCK,0,2.0
3,Lisa,Montoux,CASTRES II,RUCK,0,2.0
4,Sofaia,Fono,CASTRES II,RUCK,0,1.0
5,Sofaia,Fono,CASTRES II,RUCK,0,2.0
6,Elsa,Moutinho,CASTRES II,RUCK,0,1.0
7,Thiziri-Jades,Touabi,CASTRES II,RUCK,0,3.0
8,Agathe,Lacaze,CASTRES II,RUCK,0,1.0
10,Alice,Bouvet,CASTRES II,RUCK,0,1.0
15,Zoe,Pages,CASTRES II,RUCK,0,1.0
16,Mathilde,Lacombre,CASTRES II,RUCK,0,2.0
17,Léa,Maroco,CASTRES II,RUCK,0,1.0
18,Manel,Miftah,CASTRES II,RUCK,0,1.0
19,Elea,Marzura,CASTRES II,RUCK,0,1.0
21,Maelle,Bonne,CASTRES II,RUCK,0,1.0
3,Lisa,Montoux,CASTRES II,RUCK,2,3.0
7,Thiziri-Jades,Touabi,CASTRES II,RUCK,2,2.0
8,Agathe,Lacaze,CASTRES II,RUCK,2,1.0
11,Charlotte,Quilici,CASTRES II,RUCK,2,1.0
13,Alexia,Cazalbou,CASTRES II,RUCK,2,1.0
20,Jade,Guindé,CASTRES II,RUCK,2,2.0
21,Maelle,Bonne,CASTRES II,RUCK,2,1.0
1,Cléa,Vauloup,CASTRES II,RUCK,3,6.0
2,Lizea,Subra,CASTRES II,RUCK,3,6.0
3,Lisa,Montoux,CASTRES II,RUCK,3,3.0
4,Sofaia,Fono,CASTRES II,RUCK,3,6.0
5,Sofaia,Fono,CASTRES II,RUCK,3,3.0
6,Elsa,Moutinho,CASTRES II,RUCK,3,9.0
7,Thiziri-Jades,Touabi,CASTRES II,RUCK,3,8.0
8,Agathe,Lacaze,CASTRES II,RUCK,3,8.0
9,Lou,Cambus,CASTRES II,RUCK,3,1.0
10,Alice,Bouvet,CASTRES II,RUCK,3,2.0
11,Charlotte,Quilici,CASTRES II,RUCK,3,3.0
12,Pauline,Joigneaux,CASTRES II,RUCK,3,1.0
13,Alexia,Cazalbou,CASTRES II,RUCK,3,3.0
14,Eva,Sundheimer,CASTRES II,RUCK,3,1.0
15,Zoe,Pages,CASTRES II,RUCK,3,4.0
16,Mathilde,Lacombre,CASTRES II,RUCK,3,1.0
17,Léa,Maroco,CASTRES II,RUCK,3,3.0
18,Manel,Miftah,CASTRES II,RUCK,3,3.0
19,Elea,Marzura,CASTRES II,RUCK,3,1.0
21,Maelle,Bonne,CASTRES II,RUCK,3,3.0
22,Lila,Spaarza,CASTRES II,RUCK,3,2.0
23,Keona,Aveilla,CASTRES II,RUCK,3,3.0
13,Alexia,Cazalbou,CASTRES II,JAP,0,1.0
12,Pauline,Joigneaux,CASTRES II,JAP,2,1.0
13,Alexia,Cazalbou,CASTRES II,JAP,2,1.0
20,Jade,Guindé,CASTRES II,JAP,2,1.0
13,Alexia,Cazalbou,CASTRES II,JAP,3,1.0
20,Jade,Guindé,CASTRES II,JAP,3,3.0
3,Lisa,Montoux,CASTRES II,RECEPTION JAP,0,2.0
4,Sofaia,Fono,CASTRES II,RECEPTION JAP,0,1.0
7,Thiziri-Jades,Touabi,CASTRES II,RECEPTION JAP,0,3.0
11,Charlotte,Quilici,CASTRES II,RECEPTION JAP,0,2.0
15,Zoe,Pages,CASTRES II,RECEPTION JAP,1,1.0
11,Charlotte,Quilici,CASTRES II,RECEPTION JAP,2,1.0
14,Eva,Sundheimer,CASTRES II,RECEPTION JAP,2,1.0
15,Zoe,Pages,CASTRES II,RECEPTION JAP,2,1.0
7,Thiziri-Jades,Touabi,CASTRES II,RECEPTION JAP,3,1.0
11,Charlotte,Quilici,CASTRES II,RECEPTION JAP,3,3.0
13,Alexia,Cazalbou,CASTRES II,RECEPTION JAP,3,2.0
23,Keona,Aveilla,CASTRES II,RECEPTION JAP,3,1.0
1,Justine,Pradel,BAYONNE II,DUEL,0,3.0
2,Arwen,Lavuia,BAYONNE II,DUEL,0,1.0
4,Sofaia,Fono,BAYONNE II,DUEL,0,1.0
5,Adèle,Lachurie,BAYONNE II,DUEL,0,6.0
6,Elsa,Moutinho,BAYONNE II,DUEL,0,1.0
8,Zoe,Toustou,BAYONNE II,DUEL,0,2.0
9,Alexia,Cazalbou,BAYONNE II,DUEL,0,3.0
10,Heloïse,Seletti,BAYONNE II,DUEL,0,2.0
13,Jeanne,Beheregaray,BAYONNE II,DUEL,0,1.0
14,Eva,Sundheimer,BAYONNE II,DUEL,0,1.0
15,Alessia,Coste,BAYONNE II,DUEL,0,2.0
16,Lizea,Subra,BAYONNE II,DUEL,0,1.0
17,Lisa,Montoux,BAYONNE II,DUEL,0,1.0
19,Maelle,Bonne,BAYONNE II,DUEL,0,1.0
20,Lou,Cambus,BAYONNE II,DUEL,0,1.0
22,Pauline,Joigneaux,BAYONNE II,DUEL,0,1.0
1,Justine,Pradel,BAYONNE II,DUEL,1,2.0
2,Arwen,Lavuia,BAYONNE II,DUEL,1,1.0
5,Adèle,Lachurie,BAYONNE II,DUEL,1,2.0
6,Elsa,Moutinho,BAYONNE II,DUEL,1,2.0
8,Zoe,Toustou,BAYONNE II,DUEL,1,1.0
9,Alexia,Cazalbou,BAYONNE II,DUEL,1,1.0
12,Maelys,Onillon,BAYONNE II,DUEL,1,1.0
13,Jeanne,Beheregaray,BAYONNE II,DUEL,1,1.0
15,Alessia,Coste,BAYONNE II,DUEL,1,1.0
17,Lisa,Montoux,BAYONNE II,DUEL,1,2.0
1,Justine,Pradel,BAYONNE II,DUEL,2,2.0
2,Arwen,Lavuia,BAYONNE II,DUEL,2,5.0
4,Sofaia,Fono,BAYONNE II,DUEL,2,2.0
5,Adèle,Lachurie,BAYONNE II,DUEL,2,10.0
6,Elsa,Moutinho,BAYONNE II,DUEL,2,1.0
7,Agathe,Lacaze,BAYONNE II,DUEL,2,4.0
8,Zoe,Toustou,BAYONNE II,DUEL,2,2.0
10,Heloïse,Seletti,BAYONNE II,DUEL,2,1.0
11,Zoe,Pages,BAYONNE II,DUEL,2,3.0
12,Maelys,Onillon,BAYONNE II,DUEL,2,4.0
13,Jeanne,Beheregaray,BAYONNE II,DUEL,2,2.0
14,Eva,Sundheimer,BAYONNE II,DUEL,2,1.0
15,Alessia,Coste,BAYONNE II,DUEL,2,5.0
16,Lizea,Subra,BAYONNE II,DUEL,2,2.0
17,Lisa,Montoux,BAYONNE II,DUEL,2,7.0
18,Sofaia,Fono,BAYONNE II,DUEL,2,1.0
19,Maelle,Bonne,BAYONNE II,DUEL,2,1.0
21,Alice,Henaux,BAYONNE II,DUEL,2,1.0
4,Sofaia,Fono,BAYONNE II,DUEL,3,1.0
7,Agathe,Lacaze,BAYONNE II,DUEL,3,1.0
8,Zoe,Toustou,BAYONNE II,DUEL,3,3.0
9,Alexia,Cazalbou,BAYONNE II,DUEL,3,2.0
10,Heloïse,Seletti,BAYONNE II,DUEL,3,1.0
12,Maelys,Onillon,BAYONNE II,DUEL,3,7.0
14,Eva,Sundheimer,BAYONNE II,DUEL,3,1.0
17,Lisa,Montoux,BAYONNE II,DUEL,3,2.0
4,Sofaia,Fono,BAYONNE II,PASSE,0,1.0
5,Adèle,Lachurie,BAYONNE II,PASSE,0,1.0
4,Sofaia,Fono,BAYONNE II,PASSE,1,1.0
9,Alexia,Cazalbou,BAYONNE II,PASSE,1,2.0
9,Alexia,Cazalbou,BAYONNE II,PASSE,2,6.0
12,Maelys,Onillon,BAYONNE II,PASSE,2,1.0
17,Lisa,Montoux,BAYONNE II,PASSE,2,1.0
20,Lou,Cambus,BAYONNE II,PASSE,2,2.0
21,Alice,Henaux,BAYONNE II,PASSE,2,1.0
22,Pauline,Joigneaux,BAYONNE II,PASSE,2,1.0
1,Justine,Pradel,BAYONNE II,PASSE,3,2.0
2,Arwen,Lavuia,BAYONNE II,PASSE,3,1.0
3,Cléa,Vauloup,BAYONNE II,PASSE,3,1.0
4,Sofaia,Fono,BAYONNE II,PASSE,3,1.0
5,Adèle,Lachurie,BAYONNE II,PASSE,3,1.0
6,Elsa,Moutinho,BAYONNE II,PASSE,3,2.0
7,Agathe,Lacaze,BAYONNE II,PASSE,3,1.0
8,Zoe,Toustou,BAYONNE II,PASSE,3,2.0
9,Alexia,Cazalbou,BAYONNE II,PASSE,3,45.0
10,Heloïse,Seletti,BAYONNE II,PASSE,3,5.0
11,Zoe,Pages,BAYONNE II,PASSE,3,2.0
12,Maelys,Onillon,BAYONNE II,PASSE,3,3.0
13,Jeanne,Beheregaray,BAYONNE II,PASSE,3,1.0
15,Alessia,Coste,BAYONNE II,PASSE,3,1.0
20,Lou,Cambus,BAYONNE II,PASSE,3,10.0
21,Alice,Henaux,BAYONNE II,PASSE,3,6.0
2,Arwen,Lavuia,BAYONNE II,PLAQUAGE,0,1.0
5,Adèle,Lachurie,BAYONNE II,PLAQUAGE,0,2.0
6,Elsa,Moutinho,BAYONNE II,PLAQUAGE,0,1.0
7,Agathe,Lacaze,BAYONNE II,PLAQUAGE,0,2.0
8,Zoe,Toustou,BAYONNE II,PLAQUAGE,0,3.0
